VC name,VC linkedin
(ERA) Entrepreneurs Roundtable Accelerator,https://www.linkedin.com/company/er-accelerator/
.406 Ventures,https://www.linkedin.com/company/.406-ventures
10 BOND,https://www.linkedin.com/company/10bond/
101 Weston Labs,https://www.linkedin.com/company/101westonlabs/
11 Tribes Ventures,https://www.linkedin.com/company/11-tribes/about/
11.2 Capital,https://www.linkedin.com/company/10485200?trk=prof-exp-company-name
14Peaks Capital,https://www.linkedin.com/company/14peakscapital
17Sigma,https://www.linkedin.com/company/17sigma
1984 Ventures,https://www.linkedin.com/company/1984-ventures
1AM Gaming,https://www.linkedin.com/company/1amgaming/
1Capital,https://linkedin.com/company/a1-capital-solutions
1Up Ventures,https://www.linkedin.com/company/1upfund/
1confirmation,https://www.linkedin.com/company/1confirmation/
1in100 Ventures,https://www.linkedin.com/company/1in100-ventures/?viewAsMember=true
1kx,https://www.linkedin.com/company/1kxnetwork/
2048 Ventures,https://www.linkedin.com/company/2048vc/
20SALES,https://www.linkedin.com/company/20sales/
22Health Ventures,https://www.linkedin.com/company/22health-ventures
280 Capital,https://www.linkedin.com/company/102803617
2Shares,https://www.linkedin.com/company/2shares/about/?viewAsMember=true
2ndF,https://www.linkedin.com/company/2ndf/about/
32bit Ventures,https://linkedin.com/company/sfermion
3cubed Ventures,https://www.linkedin.com/company/3cubed-ventures/
424 Capital,https://www.linkedin.com/company/424-capital
4Di Capital,http://www.linkedin.com/company/813519
500 Emerging Europe,https://www.linkedin.com/company/500ee/
500 Global,https://www.linkedin.com/company/500global
640 Oxford,https://www.linkedin.com/company/640oxford/
645 Ventures,https://www.linkedin.com/company/645-ventures
6th Man Ventures,https://www.linkedin.com/company/6mv/?viewAsMember=true
701 Angel Fund,https://www.linkedin.com/company/701-angel-fund
8VC,https://www.linkedin.com/company/8vc
9Unicorns Accelerator Fund,https://www.linkedin.com/company/9unicorns/about/
A Ventures,https://www.linkedin.com/company/aventuresvc
A* Capital,https://www.linkedin.com/company/a-starhq
A.Capital Ventures,https://www.linkedin.com/company/a-capital-ventures
A.I. Capital Management,https://www.linkedin.com/company/ai-capital-management
AAL VC,https://www.linkedin.com/company/aal-vc
ABCDE,https://www.linkedin.com/company/nexcod-infotech
AC:DC,https://linkedin.com/company/ac-&-dc-power-technologies
ACET Capital,https://www.linkedin.com/company/acet-acc%C3%A9l%C3%A9rateur-de-cr%C3%A9ation-d-entreprises-technologiques/
ACME Capital,https://www.linkedin.com/company/acme-vc
AFWERX,https://www.linkedin.com/company/afwerx-usaf
AI Angel Club,https://www.linkedin.com/company/accredited-investors-ai-angel-club
AIX Ventures,https://www.linkedin.com/company/aixventures
ANOBAKA,https://www.linkedin.com/company/anobaka
ANRI,https://www.linkedin.com/company/anri-vc/
APY Ventures,https://www.linkedin.com/company/apyventures/
ARCH Venture Partners,https://www.linkedin.com/company/avpvc
ARK36,https://www.linkedin.com/company/ark36
ATEM Capital Fund LP,https://www.linkedin.com/company/atem-capital
AUM Ventures,https://linkedin.com/company/aumventures
AVANT,https://linkedin.com/company/avant-us
AWVC,https://linkedin.com/company/app-systems-services-pte-ltd
AZ Crown Investments,https://www.linkedin.com/in/tim-crown-7b28bb4
Aadarsh Baijal,https://www.linkedin.com/in/aadarshbaijal/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=sg
Abe Burns,http://www.linkedin.com/in/abeburns
