fund,fund-linkedin-href
Yuhan-Kimberly,https://www.linkedin.com/company/yuhan-kimberly/
Korea Credit Guarantee Fund,https://www.linkedin.com/company/korea-credit-guarantee-fund/
DeSpread,https://www.linkedin.com/company/despread-creative
Ulsan Creative Economy Innovation Center,https://www.linkedin.com/company/cbccei
Big Basin Capital,https://www.linkedin.com/company/big-basin-capital
BonAngels Venture Partners,https://www.linkedin.com/company-beta/10695836/
Mashup Ventures,https://www.linkedin.com/company/mashupventures
FuturePlay,https://www.linkedin.com/company/futureplay
Sopoong Ventures,https://www.linkedin.com/company/sopoong
Plug and Play,https://www.linkedin.com/company/plug-and-play-tech-center
CNTTECH,https://www.linkedin.com/company/cnttech/
AI Angel Club,https://www.linkedin.com/company/accredited-investors-ai-angel-club
Primer,https://www.linkedin.com/company/primerclub
Strong Ventures,https://www.linkedin.com/company/strong-ventures-llc/about/
Impact Square,https://www.linkedin.com/company/impact-sqaure/
Future Venture Capital,https://www.linkedin.com/company/10188022
CJ Investment,https://www.linkedin.com/company/cj-investment-inc/
Atinum Partners,https://www.linkedin.com/company/atinum-investment
MYSC,https://www.linkedin.com/company/mysc/
Capital Q® Ventures Inc.,https://www.linkedin.com/company/capital-q-ventures
TIPS Program,https://www.linkedin.com/company/tips-town/
Bigbang Angels,https://www.linkedin.com/company/27108575/
Bluepoint Partners,https://www.linkedin.com/company/bluepoint-partners
Fast Ventures,https://www.linkedin.com/company/fastventures/
Bass Investment,https://www.linkedin.com/company/bass-investment
Monolith,https://www.linkedin.com/company/monolithfund
Bharat Founders Fund,https://www.linkedin.com/company/investopad
Kakao Ventures,https://www.linkedin.com/company/kakao-ventures/
Digital Healthcare Partners,https://www.linkedin.com/company/dhpartners/
Global Agri-Food Advancement Partnership,https://www.linkedin.com/company/global-agri-food-advancement-partnership
Kaist Venture Investment Holdings,https://www.linkedin.com/company/kaist-venture-capital/
Korea Investment Accelerator,https://www.linkedin.com/company/korea-investment-accelerator/
Tribune Capital,https://www.linkedin.com/company/tribunecapital/
Paloma Ventures,https://www.linkedin.com/company/palomagroup
Company K Partners,https://www.linkedin.com/company/company-k-partners/
Y&Archer,https://www.linkedin.com/company/ynarcher/
Utiliti Group,https://www.linkedin.com/company/utiliti-group/
St Baker’s Energy Innovation Fund,https://www.linkedin.com/company/st-baker-energy-innovation-fund
MIRAISE,https://www.linkedin.com/company/miraise
East Ventures,https://www.linkedin.com/company/eastventures/
Social Ventures Zone,https://www.linkedin.com/company/social-ventures-zone/
The Invention Lab,https://www.linkedin.com/company/the-invention-lab-corp/
New Paradigm Investment,https://www.linkedin.com/company/npinvestment/
Startmate,https://www.linkedin.com/company/startmate
Brain-Too-Free Ventures,https://www.linkedin.com/company/braintoofree/
Skyview Fund,https://www.linkedin.com/company/skyviewfund
Korea Small and Medium Business Venture Promotion Corporation,https://www.linkedin.com/company/%EC%A4%91%EC%86%8C%EB%B2%A4%EC%B2%98%EA%B8%B0%EC%97%85%EC%A7%84%ED%9D%A5%EA%B3%B5%EB%8B%A8-korea-smes-startups-agency/
SK Securities,https://www.linkedin.com/company/sk-securities/
The Wells Investment,https://www.linkedin.com/company/investwells/
Recharge Capital,https://www.linkedin.com/company/recharge-capital/
Renew Capital,https://www.linkedin.com/company/renew-llc/
MIT Ventures,https://www.linkedin.com/company/mit-ventures
ACET Capital,https://www.linkedin.com/company/acet-acc%C3%A9l%C3%A9rateur-de-cr%C3%A9ation-d-entreprises-technologiques/
Gaga,https://www.linkedin.com/company/gaga-corporation
Carthona Capital,http://www.linkedin.com/company/3659659
Shizen Capital,https://www.linkedin.com/company/shizen
