VC name,VC linkedin
(ERA) Entrepreneurs Roundtable Accelerator,https://www.linkedin.com/company/er-accelerator/people
.406 Ventures,https://www.linkedin.com/company/.406-ventures/people
10 BOND,https://www.linkedin.com/company/10bond/people
101 Weston Labs,https://www.linkedin.com/company/101westonlabs/people
11 Tribes Ventures,https://www.linkedin.com/company/11-tribes/about/people
11.2 Capital,https://www.linkedin.com/company/10485200?trk=prof-exp-company-name/people
14Peaks Capital,https://www.linkedin.com/company/14peakscapital/people
17Sigma,https://www.linkedin.com/company/17sigma/people
1984 Ventures,https://www.linkedin.com/company/1984-ventures/people
1AM Gaming,https://www.linkedin.com/company/1amgaming/people
1Capital,https://linkedin.com/company/a1-capital-solutions/people
1Up Ventures,https://www.linkedin.com/company/1upfund/people
1confirmation,https://www.linkedin.com/company/1confirmation/people
1in100 Ventures,https://www.linkedin.com/company/1in100-ventures/?viewAsMember=true/people
1kx,https://www.linkedin.com/company/1kxnetwork/people
2048 Ventures,https://www.linkedin.com/company/2048vc/people
20SALES,https://www.linkedin.com/company/20sales/people
22Health Ventures,https://www.linkedin.com/company/22health-ventures/people
280 Capital,https://www.linkedin.com/company/102803617/people
2Shares,https://www.linkedin.com/company/2shares/about/?viewAsMember=true/people
2ndF,https://www.linkedin.com/company/2ndf/about/people
32bit Ventures,https://linkedin.com/company/sfermion/people
3cubed Ventures,https://www.linkedin.com/company/3cubed-ventures/people
424 Capital,https://www.linkedin.com/company/424-capital/people
4Di Capital,http://www.linkedin.com/company/813519/people
500 Emerging Europe,https://www.linkedin.com/company/500ee/people
500 Global,https://www.linkedin.com/company/500global/people
640 Oxford,https://www.linkedin.com/company/640oxford/people
645 Ventures,https://www.linkedin.com/company/645-ventures/people
6th Man Ventures,https://www.linkedin.com/company/6mv/?viewAsMember=true/people
701 Angel Fund,https://www.linkedin.com/company/701-angel-fund/people
8VC,https://www.linkedin.com/company/8vc/people
9Unicorns Accelerator Fund,https://www.linkedin.com/company/9unicorns/about/people
A Ventures,https://www.linkedin.com/company/aventuresvc/people
A* Capital,https://www.linkedin.com/company/a-starhq/people
A.Capital Ventures,https://www.linkedin.com/company/a-capital-ventures/people
A.I. Capital Management,https://www.linkedin.com/company/ai-capital-management/people
AAL VC,https://www.linkedin.com/company/aal-vc/people
ABCDE,https://www.linkedin.com/company/nexcod-infotech/people
AC:DC,https://linkedin.com/company/ac-&-dc-power-technologies/people
ACET Capital,https://www.linkedin.com/company/acet-acc%C3%A9l%C3%A9rateur-de-cr%C3%A9ation-d-entreprises-technologiques/people
ACME Capital,https://www.linkedin.com/company/acme-vc/people
AFWERX,https://www.linkedin.com/company/afwerx-usaf/people
AI Angel Club,https://www.linkedin.com/company/accredited-investors-ai-angel-club/people
AIX Ventures,https://www.linkedin.com/company/aixventures/people
ANOBAKA,https://www.linkedin.com/company/anobaka/people
ANRI,https://www.linkedin.com/company/anri-vc/people
APY Ventures,https://www.linkedin.com/company/apyventures/people
ARCH Venture Partners,https://www.linkedin.com/company/avpvc/people
ARK36,https://www.linkedin.com/company/ark36/people
ATEM Capital Fund LP,https://www.linkedin.com/company/atem-capital/people
AUM Ventures,https://linkedin.com/company/aumventures/people
AVANT,https://linkedin.com/company/avant-us/people
AWVC,https://linkedin.com/company/app-systems-services-pte-ltd/people
AZ Crown Investments,https://www.linkedin.com/in/tim-crown-7b28bb4/people
Aadarsh Baijal,https://www.linkedin.com/in/aadarshbaijal/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=sg/people
Abe Burns,http://www.linkedin.com/in/abeburns/people
Abhay Parasnis,https://www.linkedin.com/in/abhayparasnis/people
Abstract Ventures,https://www.linkedin.com/company/abstract-ventures/people
Acadian Ventures,https://www.linkedin.com/company/acadianventures/people
Access Venture Partners,http://www.linkedin.com/company/access-venture-partners/people
Accord Ventures,https://linkedin.com/company/accord-asset-partners/people
